002A,T5622,S5624
002A,S5624,S3975
002A,S3975,S3974
002A,S3974,S5627
002A,S5627,S5628
002A,S5628,S5629
002A,S5629,S1069
002A,S1069,S5631
002A,S5631,T1442
002B,T1442,S5635
002B,S5635,S1189
002B,S1189,S3989
002B,S3989,S3986
002B,S3986,S1188
002B,S1188,S1187
002B,S1187,S5641
002B,S5641,S5642
002B,S5642,S5644
002B,S5644,T5622
003A,T5622,S5784
003A,S5784,S5785
003A,S5785,S5786
003A,S5786,S5788
003A,S5788,S5789
003A,S5789,S5790
003A,S5790,S5791
003A,S5791,S5793
003A,S5793,S5794
003A,S5794,S5795
003A,S5795,S5796
003A,S5796,T5797
003B,T5797,S5800
003B,S5800,S5801
003B,S5801,S5802
003B,S5802,S5803
003B,S5803,S5805
003B,S5805,S5807
003B,S5807,T5622
004A,T0,S5904
004A,S5904,S5905
004A,S5905,S5906
004A,S5906,S719
004A,S719,S5908
004A,S5908,T679
004B,T680,S5912
004B,S5912,S684
004B,S684,T0
005A,T0,S2
005A,S2,S3
005A,S3,S4
005A,S4,S5
005A,S5,S6
005A,S6,T7
005B,T7,S10
005B,S10,S11
005B,S11,S12
005B,S12,S13
005B,S13,S14
005B,S14,S15
005B,S15,S17
005B,S17,S19
005B,S19,T0
006A,T0,S6095
006A,S6095,S6097
006A,S6097,S6098
006A,S6098,S6099
006A,S6099,S6100
006A,S6100,S3630
006A,S3630,S6102
006A,S6102,S6104
006A,S6104,S6105
006A,S6105,T5548
006B,T5548,S6109
006B,S6109,S6110
006B,S6110,S6111
006B,S6111,S6112
006B,S6112,S6113
006B,S6113,S6115
006B,S6115,S6116
006B,S6116,S6117
006B,S6117,S732
006B,S732,S684
006B,S684,T0
007A,T0,S6144
007A,S6144,S696
007A,S696,S700
007A,S700,T702
007B,T702,S6150
007B,S6150,S6151
007B,S6151,S6153
007B,S6153,S6155
007B,S6155,S19
007B,S19,S3730
007B,S3730,T0
008A,T0,S6162
008A,S6162,S6164
008A,S6164,S6164
008A,S6164,S6165
008A,S6165,S6166
008A,S6166,S6167
008A,S6167,S725
008A,S725,S726
008A,S726,T6170
008B,T728,S5912
008B,S5912,S6173
008B,S6173,S6174
008B,S6174,T0
009A,T0,S5435
009A,S5435,S415
009A,S415,S417
009A,S417,S630
009A,S630,S6184
009A,S6184,S346
009A,S346,S6186
009A,S6186,S6188
009A,S6188,S635
009A,S635,S6190
009A,S6190,S6191
009A,S6191,S6192
009A,S6192,S6194
009A,S6194,S6195
009A,S6195,S6196
009A,S6196,S6197
009A,S6197,S6198
009A,S6198,S6200
009A,S6200,S6201
009A,S6201,S6202
009A,S6202,T6203
009B,T6203,S6206
009B,S6206,S6207
009B,S6207,S6208
