trip,stopA,stopB,distance,time
009A,S6201,S6202,0,0
009A,S6202,T6203,0,0
009B,T6203,S6206,0,0
120B,S523,S819,2,0
192B,T1360,S1363,4,1
446B,S2096,S4333,6,1
296A,S949,S2748,8,2
014B,S5321,S5323,15,5
155A,S1015,S925,28,4
423B,S4090,S4091,28,8
166A,S1111,S1112,28,10
221A,S282,S1575,31,5
377A,S5688,S831,31,8
247B,S2142,S2143,32,6
051A,S5953,T5954,37,7
447A,S4346,S4261,38,29
009B,S6206,S6207,39,6
400B,S3715,S3682,39,12
380B,S5757,S302,40,28
324A,S3060,S3061,42,15
366B,S3362,T2688,43,6
224A,S1643,T1028,45,10
414B,S1609,T136,49,14
385B,S3500,S1336,50,8
009A,S6200,S6201,52,8
170B,S999,T1161,52,8
028A,S2790,S5460,53,10
342A,S3204,T1742,53,15
277A,S928,S2594,61,10
282B,S2646,S2647,62,9
423B,S4091,S4092,62,20
415B,S3956,S3957,64,13
486A,S4670,S4671,65,14
363B,S3348,S3349,66,16
305A,S1880,S6262,68,7
149A,S982,S925,69,39
376B,S3427,S3458,70,14
222A,S1600,T1601,71,16
296B,S2752,S2634,71,30
256A,S2247,S316,76,10
416B,S3981,S3982,78,10
416B,S3986,S3988,79,22
423B,S4092,T4006,81,23
521B,S4813,S1320,82,11
103A,S555,S27,83,35
014A,T0,S853,86,9
123B,S5246,S5248,87,37
209A,S1489,S44,88,20
256A,S187,S2253,92,13
174A,S1198,S1199,93,12
178B,S1306,T1288,95,14
262A,S2315,S2316,95,21
326A,S1732,S3081,95,21
444B,S4279,S4280,95,37
264A,S2370,S2371,97,13
523A,S4843,S4844,97,19
334A,S3147,S3148,97,34
003B,S5802,S5803,98,10
406A,S3824,S3825,98,16
419B,S4023,S4024,100,18
480B,S4644,S4645,101,20
028A,S5589,S5590,101,51
002A,S5627,S5628,103,29
114A,S700,S701,104,17
458B,S4489,S2199,104,42
521B,T893,S4810,105,17
175A,S1223,S1224,107,28
002B,T1442,S5635,109,21
246B,S1818,S2129,110,8
343A,S3216,S3217,110,17
175A,S1224,S1225,111,27
485B,S4665,S4666,112,22
231A,S1757,S1758,112,27
036A,S50,S51,114,21
226A,S5513,S27,116,44
419A,S4016,S4018,117,20
104B,S606,S607,117,25
298B,S1340,S2773,117,55
036A,S47,S49,118,22
002A,S5628,S5629,118,42
488A,S2401,S4694,119,19
376A,S3442,T3443,119,24
149A,S925,S984,122,33
044A,S5842,S5843,122,42
123A,S5063,S3284,123,18
011A,S6238,S6240,123,23
480B,S4645,S4646,123,29
538B,S4944,S4924,124,19
539B,S4944,S4924,124,19
270A,S991,S2457,125,17
070B,S171,S172,126,13
270A,S2457,S2458,126,15
326B,S3074,S3094,126,28
356A,S3313,S3314,127,23
082B,S323,S173,127,42
425B,S4134,S4136,127,42
267A,S2428,S2429,129,27
492A,S146,T4753,129,27
420A,S4038,S4039,129,38
336A,S144,S3169,130,25
436A,S4202,S4203,131,31
263A,S2333,S2334,132,44
231A,S1761,S1762,133,17
120B,S803,S804,134,26
028A,S5581,S5583,134,35
490A,T2404,S4718,135,33
159B,S1057,T1048,137,36
237A,S1885,S1886,139,18
056B,S6040,S6041,141,18
410B,T2404,S3895,142,29
149A,S992,S993,143,17
538B,S4924,S4947,143,30
539B,S4924,S4947,143,30
994B,S5099,S5100,144,23
260A,S2295,S2296,144,29
046A,S5870,S5871,144,47
237A,S1894,T1895,146,14
425B,S4136,S4137,146,27
380A,S831,S5752,146,29
254A,S2189,S2190,147,33
011A,T20,S5870,147,38
013B,S1535,T5296,147,55
251B,S2165,S2184,149,22
122B,S871,S872,149,25
201B,S1397,T1325,149,72
270A,S2454,S2455,150,42
419B,T4020,S4023,150,46
309A,S1387,S2903,151,33
020A,S206,S5468,151,34
178B,S1301,S1302,152,27
277A,S2591,S2592,152,30
480A,S4627,S4628,152,30
095A,S441,S442,152,33
175A,S1220,S1221,152,68
416A,S3978,T1184,153,23
003A,S5795,S5796,154,13
283A,S2672,S2673,154,55
226A,S1387,S5513,154,65
039B,S5218,S5219,155,31
490B,S4735,S4714,156,22
090A,S5049,T118,156,31
256B,S2282,S2283,156,42
163A,S1068,S1069,156,60
236B,S1870,S1872,157,34
325B,S3074,S874,158,33
452B,S4395,S4378,158,39
003A,S5794,S5795,159,15
055A,S4145,S4146,159,16
428A,S4145,S4146,159,16
415A,S3942,S3943,159,24
146A,S951,S952,159,42
273B,S2438,S1123,159,50
276B,S2438,S1123,159,50
012A,S5259,S5260,160,30
538B,S4943,S4944,160,31
455A,S4416,S4417,161,17
472A,S4560,S4561,162,24
188B,S1350,S1102,162,28
492B,S1239,S4760,162,40
196A,S1388,S1389,162,43
463A,S4499,S4501,163,26
260A,S2289,S2290,164,35
246B,S1964,S1869,164,47
231B,S1775,S1776,165,30
277B,S998,S2599,165,37
281A,S2627,S2628,165,43
030A,S27,T28,165,69
185B,S1323,T894,166,27
521A,S4806,T893,166,27
276A,S2294,S2293,166,34
351A,S3282,S3283,166,38
336A,S3167,S144,167,34
309B,S2911,S2897,167,38
313A,S2963,T2964,167,43
065B,S122,S123,168,43
404A,S3788,S3284,169,24
120B,S816,S817,169,31
030A,S26,S27,169,75
363B,S3350,S3351,171,23
456B,S1189,S4478,171,23
175A,T1216,S1218,171,37
333A,S1573,S278,172,36
386A,S1573,S278,172,36
389A,S1573,S278,172,36
414A,S1573,S278,172,36
176B,S1269,S1214,172,40
300A,S2809,S2810,172,40
536B,S4917,S998,173,31
036B,S60,S34,173,35
139A,S892,T893,174,28
156B,S1039,T1028,174,38
196A,S1386,S1387,174,39
298A,S2758,S551,174,101
468A,S4526,S4527,175,13
249B,S2163,S2164,175,20
492A,S4749,S3171,175,59
524B,T1137,S4875,176,30
452B,S4398,T132,176,36
521A,S4792,S885,176,61
064B,S111,T89,176,75
176B,S1243,S1267,177,31
196B,S1395,S1396,177,63
377B,S801,S5702,178,26
463B,T916,S4506,179,33
343A,S3217,S3218,179,34
446A,S4315,S2288,179,64
256B,S171,S2278,180,17
051B,S5959,S5680,180,28
236B,S1869,S1870,181,42
267A,S2422,S2423,181,50
018A,S5419,S5420,182,8
307B,S2885,S2886,182,24
995B,S4714,S5117,182,33
012B,S5271,S32,182,46
186B,S1337,S1338,182,50
114A,S696,S698,183,35
542A,S4993,T894,183,35
262B,S2323,S2324,183,43
044A,S5847,S3284,184,27
995B,S4816,S4786,185,20
239A,S1948,S1949,185,31
523A,S4842,S4843,185,42
400A,S3708,S3709,186,39
267B,S2435,S2436,186,44
524B,S4875,S4876,187,35
051A,S5951,S5952,187,37
270B,T994,S2463,188,24
542A,S2472,S4988,188,45
030B,S32,S33,188,63
036B,S33,S60,188,66
043B,S33,S60,188,66
230A,S1740,S1741,188,67
415A,S3943,S3944,190,29
389B,S1336,S3326,190,39
178A,S1291,S1292,190,43
486B,S4686,S4665,191,39
369B,S3406,S3407,191,54
420A,S4035,S4036,192,19
118A,S766,T767,192,59
112A,S677,S678,192,88
485B,S4664,S4665,193,40
056A,S3215,S6032,193,43
486B,S4683,S4684,193,47
410B,S3897,S3899,193,53
120B,S804,S805,194,29
023A,S4104,S5544,194,32
271B,T894,S2481,194,33
061A,S6077,S5513,194,80
240B,S2000,S2002,195,28
175B,S1240,S1210,195,37
176B,S1240,S1210,195,37
007B,T702,S6150,195,40
163A,S1065,S1067,195,58
012B,S32,S1535,195,65
003A,S5796,T5797,196,29
410A,S2401,S3891,196,36
030A,S25,S26,197,31
178A,S1292,S1293,197,52
523B,T4847,S4850,197,54
521B,S4816,S4817,197,61
219A,S1547,S465,197,71
221B,S1581,S1582,198,45
143B,T916,S919,199,35
490B,S4734,S4735,199,35
227A,S1682,T1684,199,42
178A,S1293,S1294,200,40
185A,S1312,S1313,200,46
369A,S1312,S1313,200,46
043A,S72,S73,200,47
363A,S3340,S3341,200,48
056A,S6035,S6036,201,37
174B,S1210,S1212,202,45
278A,S2613,S2614,202,49
271A,S2472,S2473,203,48
050B,S5926,S5927,204,32
095A,S446,S447,204,32
023A,S766,T768,204,62
424A,S766,T768,204,62
452B,S4394,S4395,205,38
104A,S590,S591,205,44
003A,S5784,S5785,205,53
196A,S1390,T470,205,56
454B,S4410,S4411,206,43
277A,S2592,S928,206,46
006B,S6109,S6110,207,41
051A,S5944,S1677,207,42
452A,S4382,S4383,207,46
041B,S5829,S378,207,58
216B,S1535,S1537,207,58
176B,S1267,S1269,208,65
485B,S4662,S4663,208,68
311B,S2956,S1337,209,49
326A,S3081,S3082,209,60
177A,S1276,S1277,210,41
175B,S1210,S1243,210,46
176B,S1210,S1243,210,46
030B,S31,S32,210,78
388A,S3565,S3567,211,15
175B,S1235,S1236,211,32
239A,S1954,S1956,211,36
267A,S2429,T2431,211,49
400A,S3709,S466,211,49
488B,S4712,S4713,211,49
222A,S1599,S1600,211,55
225A,S1655,T1656,211,57
118A,S760,S761,211,80
226A,S5521,T3443,212,39
056A,S3213,S3215,212,47
343A,S3213,S3215,212,47
267A,S2425,S2426,212,50
222B,S1608,S1609,212,55
064A,S99,S100,213,27
140A,S99,S100,213,27
416B,S3982,S3983,213,32
388A,S3567,S3568,213,33
044A,S5850,T5241,214,33
