stop,route
S5624,002A
S3975,002A
S3974,002A
S5627,002A
S5628,002A
S5629,002A
S1069,002A
S5631,002A
T1442,002A
S5635,002B
S1189,002B
S3989,002B
S3986,002B
S1188,002B
S1187,002B
S5641,002B
S5642,002B
S5644,002B
T5622,002B
S5784,003A
S5785,003A
S5786,003A
S5788,003A
S5789,003A
S5790,003A
S5791,003A
S5793,003A
S5794,003A
S5795,003A
S5796,003A
T5797,003A
S5800,003B
S5801,003B
S5802,003B
S5803,003B
S5805,003B
S5807,003B
T5622,003B
S5904,004A
S5905,004A
S5906,004A
S719,004A
S5908,004A
T679,004A
S5912,004B
S684,004B
T0,004B
S2,005A
S3,005A
S4,005A
S5,005A
S6,005A
T7,005A
S10,005B
S11,005B
S12,005B
S13,005B
S14,005B
S15,005B
S17,005B
S19,005B
T0,005B
S6095,006A
S6097,006A
S6098,006A
S6099,006A
S6100,006A
S3630,006A
S6102,006A
S6104,006A
S6105,006A
T5548,006A
S6109,006B
S6110,006B
S6111,006B
S6112,006B
S6113,006B
S6115,006B
S6116,006B
S6117,006B
S732,006B
S684,006B
T0,006B
S6144,007A
S696,007A
S700,007A
T702,007A
S6150,007B
S6151,007B
S6153,007B
S6155,007B
S19,007B
S3730,007B
T0,007B
S6162,008A
S6164,008A
S6164,008A
S6165,008A
S6166,008A
S6167,008A
S725,008A
S726,008A
T6170,008A
S5912,008B
S6173,008B
S6174,008B
T0,008B
S5435,009A
S415,009A
S417,009A
S630,009A
S6184,009A
S346,009A
S6186,009A
S6188,009A
S635,009A
S6190,009A
S6191,009A
S6192,009A
S6194,009A
S6195,009A
S6196,009A
S6197,009A
S6198,009A
S6200,009A
S6201,009A
S6202,009A
T6203,009A
S6206,009B
S6207,009B
S6208,009B
S352,009B
S6211,009B
S6001,009B
S5357,009B
T0,009B
S6219,010A
S415,010A
S629,010A
T3846,010A
S14,010B
S15,010B
S380,010B
S6229,010B
S6231,010B
T0,010B
S5870,011A
S5260,011A
S6238,011A
S6240,011A
S216,011A
T1043,011A
S6246,011B
S6247,011B
T0,011B
S1530,012A
S5259,012A
S5260,012A
S5262,012A
S5263,012A
S1527,012A
S216,012A
T1325,012A
S5269,012B
S5271,012B
S32,012B
S1535,012B
S34,012B
T0,012B
S5279,013A
S1530,013A
S1527,013A
S5283,013A
T1043,013A
S5288,013B
S5289,013B
S5290,013B
S5291,013B
S1535,013B
T5296,013B
S853,014A
S5300,014A
S216,014A
S254,014A
T1043,014A
S5310,014B
S5312,014B
S5314,014B
S5315,014B
S1370,014B
S5318,014B
S5320,014B
S5321,014B
S5323,014B
T0,014B
S5327,015A
S5328,015A
S5188,015A
S5331,015A
S5332,015A
S3284,015A
S5335,015A
S5336,015A
S5337,015A
S5338,015A
S5339,015A
S5340,015A
S5341,015A
S5342,015A
T5343,015A
S5346,015B
S5347,015B
S5078,015B
S5349,015B
S3288,015B
S5246,015B
S5246,015B
S5249,015B
S5355,015B
S5356,015B
S5357,015B
T0,015B
S5361,016A
S5362,016A
S415,016A
S417,016A
S5368,016A
S345,016A
T5371,016A
S352,016B
S5375,016B
S14,016B
S5378,016B
S380,016B
S384,016B
S5382,016B
S5384,016B
T0,016B
S5389,017A
S3751,017A
S5392,017A
S4189,017A
S3565,017A
S4190,017A
S5398,017A
S5400,017A
S5401,017A
S99,017A
S5403,017A
S5404,017A
S102,017A
S5407,017A
S879,017B
S880,017B
S3040,017B
S2823,018A
S5416,018A
S5417,018A
S904,018A
S5419,018A
S5420,018A
S5007,018A
S99,018A
S5423,018A
S5424,018A
T103,018A
S4179,018B
S3760,018B
S880,018B
S881,018B
T0,018B
S5435,019A
S5435,019A
S414,019A
S415,019A
S630,019A
S5441,019A
S346,019A
S635,019A
T638,019A
S5448,019B
S5449,019B
S5450,019B
S352,019B
S15,019B
S5357,019B
T0,019B
S5460,020A
S5260,020A
S465,020A
S5283,020A
S217,020A
S205,020A
S206,020A
S5468,020A
S229,020B
S5473,020B
S5474,020B
S241,020B
S5476,020B
S5478,020B
S5479,020B
S5482,021A
S5483,021A
S5485,021A
S5331,021A
S5487,021A
S574,021A
S3284,021A
S5491,021A
S5492,021A
S5338,021A
S5496,021B
S5246,021B
S5382,021B
S5502,021B
S5356,021B
S5505,021B
T0,021B
S1183,023A
S757,023A
S5535,023A
S5537,023A
S5535,023A
S4102,023A
S4104,023A
S5544,023A
S766,023A
T768,023A
S5550,023B
S5551,023B
S5552,023B
S682,023B
S335,023B
S684,023B
S486,023B
T0,023B
T5561,026A
S5564,026B
S5564,026B
S5568,026B
S231,026B
S5571,026B
S5572,026B
S5574,026B
S1728,026B
S5577,026B
T3099,026B
S5581,028A
S5583,028A
S5584,028A
S5585,028A
S5587,028A
S5589,028A
S5590,028A
S2790,028A
S5460,028A
T5593,028A
S5596,028B
S1366,028B
S5598,028B
S5599,028B
S5600,028B
S5602,028B
T1497,028B
S5606,029A
S41,029A
S43,029A
S5610,029A
S47,029A
S5613,029A
S5615,029A
T75,029A
S5619,029B
S81,029B
T21,029B
S23,030A
S24,030A
S25,030A
S26,030A
S27,030A
T28,030A
S31,030B
S32,030B
S33,030B
S34,030B
S35,030B
T37,030B
S3813,031A
S5649,031A
S5650,031A
S5652,031A
S2879,031A
T2880,031A
S684,031B
S5658,031B
S5659,031B
S5663,035A
S5664,035A
S5665,035A
S5666,035A
S5667,035A
T5668,035A
T5668,035B
S5672,035B
S5673,035B
S5674,035B
S5675,035B
S5677,035B
S5678,035B
S1695,035B
S5680,035B
S3177,035B
S5682,035B
S5683,035B
T0,035B
S40,036A
S41,036A
S42,036A
S43,036A
S44,036A
S46,036A
S47,036A
S49,036A
S50,036A
S51,036A
S52,036A
S53,036A
T54,036A
S57,036B
S58,036B
S33,036B
S60,036B
S34,036B
S62,036B
S63,036B
T0,036B
S5188,038A
S5189,038A
S5190,038A
S5192,038A
S5194,038A
S415,038A
S417,038A
S630,038A
S422,038B
S5202,038B
S5203,038B
S5204,038B
S5205,038B
S5206,038B
T0,038B
S5210,039A
S5211,039A
S5213,039A
S3061,039A
T5215,039A
S5218,039B
S5219,039B
S5220,039B
S880,039B
S5222,039B
T0,039B
S676,040A
T679,040A
S684,040B
S5231,040B
T0,040B
S5811,041A
S5812,041A
S5813,041A
