route,from_terminal,to_terminal
002A,37 Lorry Park,Osu Blow Up
002B,Osu Blow Up,37 Lorry Park
003A,37 Lorry Park,Tse Addo
003B,Tse Addo,37 Lorry Park
004A,Abeka lapaz,Ashaiman Station
004B,Ashiaman Station,Abeka lapaz
005A,Abeka lapaz,Ashalaja
005B,Ashalaja,Abeka lapaz
006A,Abeka lapaz,Sakumono station
006B,Sakumono station,Abeka lapaz
007A,Abeka lapaz,Taifa Station
007B,Taifa Station,Abeka lapaz
008A,Abeka lapaz,Tema Main Habour Round About
008B,Tema Main Habour Round About,Abeka lapaz
009A,Abeka lapaz,Adeiman
009B,Adeiman,Abeka lapaz
010A,Abeka lapaz,Amasaman
010B,Amasaman,Abeka lapaz
011A,Abeka lapaz,Circle
011B,Circle,Abeka lapaz
012A,Abeka lapaz,Circle Opps. Vodafone
012B,Alajo Station,Abeka lapaz
013A,Abeka lapaz,Circle
013B,Lido Terminal (Circle Overhead),G
014A,Abeka lapaz,Circle
014B,Accra CMB,Abeka lapaz
015A,Abeka lapaz,D.K. Last stop
015B,Kwabenya,Abeka lapaz
016A,Abeka lapaz,Sarpeiman
016B,Sarpeiman,Abeka lapaz
017A,Abeka lapaz,Kasoa Station
017B,Kasoa Station,Abeka lapaz
018A,Abeka lapaz,Kasoa Station
018B,Kasoa Station,Abeka lapaz
019A,Abeka lapaz,Kotoku Terminal
019B,Kotoku Terminal,Abeka lapaz
020A,Abeka Market station,Accra UTC
020B,Accra UTC,Abeka Market station
021A,Abeka lapaz,Dome
021B,Dome,Abeka lapaz
023A,Abeka lapaz,Nungua Station
023B,Sakumono station,Abeka lapaz
026A,Accra UTC Taxi Rank,Abeka Station near Market
026B,Abeka Market station,Rawlings Park
028A,Circle Near Las Palmas (PROTOA),Abeka Station
028B,Abeka Market station,Circle Near Las Palmas (PROTOA)
029A,Abeka Market station,Kaneshie Mkt Cmplx
029B,Kaneshie Mkt Cmplx,Abeka Market station
030A,Abeka Market station,Mallam Atta Station
030B,Mallam Atta Station,Abeka Main Markt
031A,Abeka lapaz,37 Station
031B,37 Station,Abeka lapaz
035A,Abeka lapaz,Agape Station
035B,Agape Station,Abeka lapaz
036A,Abeka lapaz,Agbogbloshie Station No. 2
036B,Agbogbloshie Station No. 2,Abeka lapaz
038A,Abeka lapaz,Amasaman
038B,Amasaman,Abeka lapaz
039A,Nyamekye,Aunti Eku Pallas Town
039B,Aunti Eku Pallas Town,Abeka lapaz
040A,Abeka lapaz,Ashaiman Station
040B,Ashiaman Station,Abeka lapaz
041A,Abeka lapaz,Asofan Station
041B,Asofan Station,Abeka lapaz
043A,Abeka lapaz,Kaneshie Mkt Cmplx
043B,Kaneshie Mkt Cmplx,Abeka lapaz
044A,Abeka lapaz,Dome
044B,Dome,Abeka lapaz
046A,Kaneshie Mkt Cmplx,Abeka lapaz
046B,Abeka lapaz,Kaneshie Mkt Cmplx
048A,Abeka lapaz,Korle Bu Station
048B,Korle Bu Station,Abeka lapaz
050A,Abeka lapaz,Gbawe Station
