stop_id,stop_lat,stop_lon,stop_name
S10,5.67904,-0.350009,Manhean Junction
S100,5.53851,-0.400462,Market 140
S1000,5.53417,-0.235723,Plaza 149
S1001,5.53562,-0.228926,Total 447
S1003,5.53853,-0.215757,Agbado
S1005,5.54324,-0.216218,Timber Market 536
S1007,5.54756,-0.217718,Galloway
S101,5.53779,-0.402923,Washing Bay 140
S1011,5.55697,-0.231807,Total 302
S1013,5.55235,-0.230566,Ayigbe
S1014,5.54121,-0.225258,Mortuary 155
S1015,5.53856,-0.21526,UTC (Agbado)
S1018,5.55389,-0.231403,Ayigbe Town 303
S102,5.53572,-0.412741,Amanfro
S1022,5.53802,-0.218211,UTC (Agbado)
S1023,5.55802,-0.231264,Total 302
S1025,5.56335,-0.232579,Pamprom 155
S1032,5.55764,-0.212383,GLICO
S1037,5.58282,-0.216685,Caprice
S1038,5.5908,-0.216965,Market 224
S1039,5.59415,-0.216658,Filling Station 156
S1051,5.5984,-0.212234,Polo Junction 345
S1052,5.59636,-0.209835,Bodesh
S1056,5.59465,-0.216799,Sunshine 400
S1057,5.59172,-0.216901,Roadside 159
S106,5.5473,-0.338736,SCC
S1061,5.56722,-0.169447,Coffee Shop
S1062,5.56398,-0.172133,Labone Junction 163
S1064,5.56631,-0.179096,Danquah 1st
S1065,5.5662,-0.181151,Koala Supermarket
S1067,5.56446,-0.181385,Afridom
S1068,5.561,-0.181934,Bank 002
S1069,5.55961,-0.182148,Papaye 002
S1070,5.55662,-0.182655,Shell 002
S1071,5.54874,-0.194817,Ministries
S1075,5.56062,-0.186797,Sumkam
S1076,5.56624,-0.184642,Junction 163
S1077,5.56345,-0.172363,Labone Junction 163
S1078,5.56483,-0.171056,Labone School
S1079,5.56898,-0.168899,Coffee Shop
S108,5.55147,-0.328514,Filling Station
S1088,5.55011,-0.22034,Market 488
S109,5.57634,-0.274154,Sakaman Junction
S1093,5.55907,-0.230633,Traffic Light 165
S1094,5.56348,-0.232915,Pamprom 155
S1095,5.56423,-0.23427,Kaneshie
S1096,5.56951,-0.242754,First Light
S1097,5.57734,-0.255653,Darkuman 302
S11,5.6963,-0.317257,Three Junction
S110,5.57635,-0.254699,Darkuman Junction 225
S1101,5.5734,-0.249828,Goil 165
S1102,5.56432,-0.234364,Kaneshie Societe Generale
S1103,5.55544,-0.226168,Sabolai
S1105,5.55082,-0.22116,Agbogbloshie Station No. 2
S1106,5.5477,-0.217965,New Makola No. 2 Market - Agbobloshie
S111,5.56564,-0.236896,Kaneshie
S1110,5.55636,-0.235831,Gaskia
S1111,5.5575,-0.240522,Zongo Junction 410
S1112,5.55766,-0.240742,Japs House
S1117,5.55529,-0.254702,Junction 166
S1121,5.55355,-0.254296,Road Side 166
S1122,5.55971,-0.251631,Paa Willie
S1123,5.55777,-0.239798,Zongo Junction 166
S1125,5.55599,-0.232976,Happy Days 166
S1129,5.57285,-0.248525,Goil 303
S1133,5.5645,-0.23443,MMT
S1135,5.57128,-0.245596,Quarters 2
S1139,5.53538,-0.229992,Korle Bu Mobil
S1145,5.53855,-0.211671,Bukom
S1149,5.53685,-0.223547,St. Mary's/Barber
S115,5.5654,-0.2253,STC
S1153,5.53479,-0.23291,Awotse Kojo
S1154,5.53375,-0.237963,Shell Filling Station 463
S116,5.58624,-0.248295,Mangoase 065
S1164,5.53359,-0.211741,Light House 485
S1166,5.54397,-0.204498,Bishop
S117,5.58597,-0.251554,Quarters 306
S1171,5.54214,-0.208722,Post Office 172
S1173,5.53859,-0.215012,Agbalolo
S1179,5.53999,-0.251639,Abolo Junction
S1183,5.58734,-0.174806,El wak
S1187,5.56795,-0.180797,Police Hospital 002
S1188,5.56585,-0.18116,Koala Supermarket
S1189,5.55636,-0.182718,Shell 002
S1191,5.54966,-0.189749,First Stop 416
S1192,5.54872,-0.19467,Ministries
